,Country
0,
1, Azerbaijan
2,Afghanistan
3,Albania
4,Algeria
5,Andorra
6,Angola
7,Antigua and Barbuda
8,Argentina
9,Armenia
10,Aruba
11,Australia
12,Austria
13,Azerbaijan
14,Bahamas
15,"Bahamas, The"
16,Bahrain
17,Bangladesh
18,Barbados
19,Belarus
20,Belgium
21,Belize
22,Benin
23,Bhutan
24,Bolivia
25,Bosnia and Herzegovina
26,Botswana
27,Brazil
28,Brunei
29,Bulgaria
30,Burkina Faso
31,Burma
32,Burundi
33,Cabo Verde
34,Cambodia
35,Cameroon
36,Canada
37,Cape Verde
38,Cayman Islands
39,Central African Republic
40,Chad
41,Channel Islands
42,Chile
43,China
44,Colombia
45,Congo (Brazzaville)
46,Congo (Kinshasa)
47,Costa Rica
48,Cote d'Ivoire
49,Croatia
50,Cruise Ship
51,Cuba
52,Curacao
53,Cyprus
54,Czechia
55,Denmark
56,Diamond Princess
57,Djibouti
58,Dominica
59,Dominican Republic
60,East Timor
61,Ecuador
62,Egypt
63,El Salvador
64,Equatorial Guinea
65,Eritrea
66,Estonia
67,Eswatini
68,Ethiopia
69,Faroe Islands
70,Fiji
71,Finland
72,France
73,French Guiana
74,Gabon
75,Gambia
76,"Gambia, The"
77,Georgia
78,Germany
79,Ghana
80,Gibraltar
81,Greece
82,Greenland
83,Grenada
84,Guadeloupe
85,Guam
86,Guatemala
87,Guernsey
88,Guinea
89,Guinea-Bissau
90,Guyana
91,Haiti
92,Holy See
93,Honduras
94,Hong Kong
95,Hong Kong SAR
96,Hungary
97,Iceland
98,India
99,Indonesia
100,Iran
101,Iran (Islamic Republic of)
102,Iraq
103,Ireland
104,Israel
105,Italy
106,Ivory Coast
107,Jamaica
108,Japan
109,Jersey
110,Jordan
111,Kazakhstan
112,Kenya
113,"Korea, South"
114,Kosovo
115,Kuwait
116,Kyrgyzstan
117,Laos
118,Latvia
119,Lebanon
120,Liberia
121,Libya
122,Liechtenstein
123,Lithuania
124,Luxembourg
125,Macao SAR
126,Macau
127,Madagascar
128,Malaysia
129,Maldives
130,Mali
131,Malta
132,Martinique
133,Mauritania
134,Mauritius
135,Mayotte
136,Mexico
137,Moldova
138,Monaco
139,Mongolia
140,Montenegro
141,Morocco
142,Mozambique
143,MS Zaandam
144,Namibia
145,Nepal
146,Netherlands
147,New Zealand
148,Nicaragua
149,Niger
150,Nigeria
151,North Ireland
152,North Macedonia
153,Norway
154,occupied Palestinian territory
155,Oman
156,Others
157,Pakistan
158,Palestine
159,Panama
160,Papua New Guinea
161,Paraguay
162,Peru
163,Philippines
164,Poland
165,Portugal
166,Puerto Rico
167,Qatar
168,Republic of Ireland
169,Republic of Korea
170,Republic of Moldova
171,Republic of the Congo
172,Reunion
173,Romania
174,Russia
175,Russian Federation
176,Rwanda
177,Saint Barthelemy
178,Saint Kitts and Nevis
179,Saint Lucia
180,Saint Martin
181,Saint Vincent and the Grenadines
182,San Marino
183,Saudi Arabia
184,Senegal
185,Serbia
186,Seychelles
187,Sierra Leone
188,Singapore
189,Slovakia
190,Slovenia
191,Somalia
192,South Africa
193,South Korea
194,Spain
195,Sri Lanka
196,St. Martin
197,Sudan
198,Suriname
199,Sweden
200,Switzerland
201,Syria
202,Taipei and environs
203,Taiwan
204,Taiwan*
205,Tanzania
206,Thailand
207,The Bahamas
208,The Gambia
209,Timor-Leste
210,Togo
211,Trinidad and Tobago
212,Tunisia
213,Turkey
214,Uganda
215,Ukraine
216,United Arab Emirates
217,United Kingdom
218,Uruguay
219,US
220,Uzbekistan
221,Vatican City
222,Venezuela
223,Viet Nam
224,Vietnam
225,West Bank and Gaza
226,Zambia
227,Zimbabwe
